Idx,N
147,1657
560,1662
799,1662
256,1666
78,1672
781,1675
323,1678
512,1687
769,1687
825,1689
156,1694
671,1695
320,1700
167,1705
191,1706
888,1707
43,1718
516,1718
309,1720
695,1730
686,1731
592,1735
555,1741
431,1744
291,1747
470,1747
795,1752
437,1760
337,1763
82,1764
4,1769
561,1776
662,1776
171,1788
177,1792
117,1793
377,1799
524,1799
479,1802
367,1816
364,1826
903,1836
765,1839
380,1842
365,1847
129,1857
368,1857
190,1863
733,1873
246,1874
564,1878
119,1883
208,1892
272,1902
624,1903
818,1912
183,1925
289,1928
251,1933
378,1942
108,1944
206,1953
79,1957
275,1957
76,1958
184,1965
148,1967
664,1983
475,1985
382,1987
644,1991
226,1993
361,1993
721,1993
174,2000
335,2000
598,2015
809,2034
20,2042
698,2051
639,2058
489,2071
94,2086
405,2087
46,2088
59,2095
680,2102
30,2108
694,2109
784,2110
423,2115
734,2119
611,2122
619,2127
312,2141
860,2141
101,2150
434,2159
100,2160
595,2164
864,2184
798,2193
861,2195
73,2196
292,2215
480,2216
63,2218
829,2229
855,2234
196,2239
763,2250
280,2259
878,2266
238,2269
48,2272
227,2273
696,2305
517,2308
430,2329
314,2336
486,2336
462,2358
651,2362
468,2364
790,2381
588,2383
542,2391
632,2392
660,2402
758,2419
135,2423
892,2429
889,2452
253,2456
400,2463
684,2467
274,2500
331,2502
446,2505
207,2514
145,2522
411,2524
693,2560
581,2584
316,2616
827,2631
41,2637
690,2728
682,2758
620,2781
404,2799
551,2805
10,2858
633,2869
56,2900
438,2930
299,2977
290,3045
52,3046
533,3358
574,3440
11,3545
750,3935
