Idx,N
2,1
3,1
6,1
9,1
11,1
14,1
30,1
35,1
51,1
56,1
80,1
81,1
117,1
151,1
155,1
162,1
165,1
168,1
170,1
172,1
177,1
181,1
193,1
195,1
196,1
203,1
227,1
287,1
291,1
292,1
311,1
368,1
389,1
393,1
397,1
410,1
413,1
414,1
415,1
421,1
452,1
459,1
493,1
495,1
501,1
551,1
554,1
562,1
572,1
574,1
576,1
602,1
610,1
621,1
635,1
636,1
637,1
656,1
658,1
676,1
699,1
709,1
710,1
724,1
726,1
739,1
744,1
746,1
758,1
767,1
772,1
775,1
776,1
781,1
795,1
798,1
803,1
807,1
822,1
823,1
849,1
851,1
863,1
879,1
4,2
17,2
26,2
31,2
50,2
54,2
63,2
118,2
127,2
164,2
186,2
197,2
213,2
228,2
232,2
245,2
250,2
254,2
256,2
257,2
261,2
265,2
266,2
271,2
276,2
283,2
316,2
325,2
327,2
328,2
333,2
392,2
401,2
411,2
425,2
437,2
442,2
443,2
453,2
457,2
458,2
461,2
462,2
465,2
470,2
492,2
494,2
504,2
544,2
550,2
585,2
586,2
594,2
597,2
598,2
605,2
614,2
631,2
650,2
660,2
661,2
677,2
685,2
686,2
687,2
693,2
703,2
711,2
719,2
721,2
730,2
731,2
734,2
735,2
748,2
752,2
759,2
764,2
771,2
774,2
782,2
792,2
794,2
825,2
830,2
847,2
870,2
23,3
64,3
88,3
100,3
121,3
144,3
148,3
158,3
160,3
175,3
188,3
189,3
241,3
259,3
278,3
288,3
298,3
304,3
324,3
326,3
330,3
337,3
364,3
373,3
383,3
400,3
419,3
432,3
438,3
444,3
451,3
472,3
484,3
496,3
513,3
517,3
527,3
528,3
545,3
555,3
579,3
584,3
591,3
599,3
618,3
634,3
638,3
641,3
645,3
671,3
692,3
704,3
745,3
757,3
796,3
801,3
821,3
833,3
838,3
852,3
856,3
859,3
860,3
866,3
869,3
7,4
25,4
28,4
41,4
44,4
49,4
59,4
74,4
89,4
103,4
131,4
200,4
209,4
215,4
218,4
221,4
236,4
238,4
246,4
248,4
262,4
272,4
320,4
323,4
336,4
338,4
340,4
342,4
354,4
357,4
381,4
390,4
402,4
416,4
418,4
433,4
435,4
463,4
469,4
481,4
482,4
490,4
497,4
502,4
560,4
564,4
565,4
587,4
603,4
616,4
622,4
623,4
624,4
659,4
684,4
707,4
708,4
712,4
716,4
718,4
732,4
738,4
754,4
756,4
777,4
786,4
791,4
797,4
805,4
828,4
841,4
858,4
873,4
876,4
881,4
5,5
38,5
40,5
43,5
52,5
66,5
85,5
106,5
