Idx,N
109,5
114,5
132,5
154,5
157,5
161,5
167,5
169,5
171,5
201,5
208,5
217,5
230,5
233,5
269,5
308,5
313,5
329,5
380,5
387,5
431,5
532,5
558,5
563,5
639,5
642,5
644,5
713,5
729,5
755,5
761,5
762,5
770,5
785,5
790,5
810,5
815,5
816,5
835,5
853,5
864,5
874,5
19,6
22,6
42,6
47,6
62,6
75,6
82,6
136,6
191,6
194,6
207,6
220,6
243,6
252,6
253,6
267,6
279,6
295,6
310,6
321,6
347,6
348,6
351,6
353,6
355,6
382,6
423,6
448,6
491,6
510,6
515,6
520,6
533,6
539,6
566,6
569,6
628,6
672,6
696,6
702,6
768,6
780,6
800,6
802,6
809,6
812,6
836,6
868,6
24,7
69,7
77,7
98,7
111,7
113,7
125,7
128,7
134,7
146,7
149,7
176,7
178,7
183,7
199,7
239,7
260,7
284,7
306,7
350,7
385,7
409,7
487,7
508,7
512,7
525,7
526,7
536,7
542,7
546,7
547,7
549,7
557,7
559,7
612,7
625,7
663,7
683,7
691,7
697,7
705,7
740,7
743,7
784,7
882,7
12,8
87,8
122,8
150,8
159,8
182,8
190,8
205,8
237,8
242,8
322,8
349,8
359,8
366,8
369,8
427,8
474,8
483,8
514,8
537,8
543,8
583,8
648,8
657,8
665,8
680,8
682,8
700,8
820,8
834,8
855,8
61,9
65,9
107,9
115,9
124,9
135,9
140,9
180,9
225,9
275,9
344,9
346,9
371,9
417,9
450,9
466,9
505,9
531,9
541,9
571,9
640,9
643,9
722,9
819,9
18,10
126,10
314,10
356,10
436,10
446,10
475,10
506,10
530,10
678,10
698,10
717,10
817,10
827,10
850,10
10,11
16,11
37,11
53,11
71,11
105,11
133,11
173,11
179,11
211,11
219,11
226,11
384,11
399,11
403,11
434,11
445,11
582,11
666,11
667,11
675,11
689,11
694,11
742,11
751,11
831,11
846,11
39,12
70,12
83,12
99,12
104,12
108,12
116,12
166,12
202,12
235,12
274,12
289,12
318,12
396,12
439,12
441,12
524,12
548,12
556,12
568,12
617,12
647,12
651,12
674,12
725,12
737,12
844,12
880,12
46,13
93,13
145,13
229,13
341,13
394,13
424,13
480,13
561,13
570,13
595,13
627,13
662,13
824,13
826,13
842,13
865,13
36,14
92,14
95,14
192,14
231,14
339,14
361,14
428,14
454,14
471,14
500,14
503,14
629,14
804,14
814,14
152,15
184,15
234,15
307,15
309,15
362,15
455,15
468,15
486,15
522,15
580,15
589,15
606,15
609,15
615,15
630,15
654,15
733,15
769,15
845,15
72,16
112,16
142,16
143,16
156,16
204,16
244,16
258,16
273,16
303,16
405,16
473,16
488,16
567,16
588,16
668,16
670,16
695,16
749,16
773,16
778,16
867,16
8,17
57,17
73,17
94,17
153,17
216,17
293,17
345,17
367,17
379,17
535,17
540,17
723,17
818,17
829,17
837,17
20,18
27,18
123,18
137,18
386,18
440,18
464,18
509,18
701,18
33,19
67,19
222,19
301,19
343,19
404,19
664,19
789,19
79,20
280,20
285,20
317,20
407,20
499,20
673,20
690,20
861,20
76,21
264,21
388,21
412,21
456,21
460,21
476,21
478,21
519,21
534,21
596,21
669,21
788,21
811,21
862,21
1,22
101,22
163,22
247,22
249,22
294,22
372,22
395,22
619,22
679,22
715,22
741,22
878,22
84,23
86,23
91,23
206,23
255,23
282,23
286,23
363,23
398,23
447,23
633,23
766,23
779,23
799,23
877,23
21,24
300,24
391,24
485,24
601,24
681,24
736,24
871,24
263,25
268,25
360,25
449,25
538,25
593,25
611,25
714,25
875,25
13,26
130,26
212,26
370,26
467,26
649,26
787,26
839,26
141,27
198,27
299,27
408,27
507,27
518,27
577,27
375,28
90,29
97,29
119,29
297,29
511,29
604,29
832,29
498,30
727,30
139,31
210,31
120,32
352,32
429,32
523,32
857,32
240,33
270,33
312,33
592,33
626,33
763,33
590,34
147,35
277,35
489,35
608,35
706,35
747,35
185,36
334,36
688,36
854,36
872,36
68,37
129,37
377,37
426,37
365,38
96,39
319,39
632,39
34,40
332,40
374,40
378,40
575,40
331,41
783,41
58,42
479,42
516,42
653,42
750,43
808,43
45,44
613,44
728,44
290,45
578,45
281,46
600,47
655,47
0,48
315,48
335,50
620,51
430,52
48,53
78,54
296,54
302,54
607,56
646,57
376,60
813,62
840,62
15,63
138,63
422,65
358,66
765,71
793,71
174,72
848,72
843,74
102,76
60,78
187,80
406,80
652,82
32,84
420,84
529,85
251,86
223,87
110,91
573,95
305,99
521,100
29,103
552,106
55,109
753,114
720,126
214,128
224,146
581,149
553,151
760,154
806,158
477,203
